//联锁表-集 宁 南 站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
108    |LCJL|X3LA,SJLA    |X3     |(50),(48),36-38,34,(18-20),6-8                     |48-50DG,34-36DG,16-20DG,18DG,8DG,56-58DG,26DG,SJG                     |BA,D28,D30,D14,SJ;
109    |LCJL|X3LA,SJFLA    |X3     |(50),(48),36-38,34,18-20,(14-16),(2-4)                     |48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,56-58DG,12DG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
110    |LCJL|XIILA,SFLA    |XII     |48,36-38,34,18-20,(14-16),2-4                     |48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
111    |LCJL|XIILA,SLA    |XII     |48,36-38,34,18-20,14-16                     |48-50DG,34-36DG,16-20DG,S3JG                     |BA,D28,D30,S;
112    |LCJL|XIILA,SJLA    |XII     |48,36-38,34,(18-20),6-8                     |48-50DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |BA,D28,D30,D14,SJ;
113    |LCJL|XIILA,SJFLA    |XII     |48,36-38,34,18-20,(14-16),(2-4)                     |48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
114    |LCJL|XILA,D30A,SJLA    |XI     |(36-38),34,(18-20),6-8                     |38DG,48-50DG,16-20DG,18DG,8DG,26DG,SJG                     |D28,D30,D14,SJ;
115    |LCJL|XILA,SFLA    |XI     |(36-38),34,18-20,(14-16),2-4                     |38DG,34-36DG,16-20DG,14DG,4/14WG,4DG,48-50DG,12DG,X1LQ                     |D28,D30,D10,D6,SF;
116    |LCJL|XILA,SLA    |XI     |(36-38),34,18-20,14-16                     |38DG,34-36DG,16-20DG,48-50DG,S3JG                     |D28,D30,S;
117    |LCJL|XILA,SJLA    |XI     |36-38,22-26,18-20,6-8                     |38DG,26/38WG,26DG,18DG,8DG,SJG                     |D32,D26,D14,SJ;
118    |LCJL|XILA,D28A,SJLA    |XI     |(36-38),34,(18-20),6-8                     |38DG,34-36DG,48-50DG,16-20DG,18DG,8DG,26DG,SJG                     |D28,D30,D14,SJ;
119    |LCJL|XILA,SJFLA    |XI     |(36-38),34,18-20,(14-16),(2-4)                     |38DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,48-50DG,12DG,YSJFG                     |D28,D30,D10,D6,D2,SJF;
120    |LCJL|SFLA,XVIILA    |SF     |2-4,14-16,10-12,40-42,44-46,62-64                     |4DG,4/14WG,14DG,12DG,12/44WG,42-44DG,62DG,VIIG                     |D6,D10,D22,D36,D40,XVII;
121    |LCJL|SFLA,X6LA    |SF     |2-4,14-16,10-12,40-42,(44-46),40-42,52                     |4DG,4/14WG,14DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,6G                     |D6,D10,D22,D36,D42,X6;
122    |LCJL|SFLA,X5LA    |SF     |2-4,14-16,10-12,40-42,(44-46),40-42,(52),58-60,54-56                     |4DG,4/14WG,14DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,5G                     |D6,D10,D22,D36,D42,X5;
123    |LCJL|SFLA,X4LA    |SF     |2-4,14-16,10-12,40-42,(44-46),40-42,(52),58-60,(54-56),58-60                     |4DG,4/14WG,14DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,56-58DG,4G                     |D6,D10,D22,D36,D42,X4;
124    |LCJL|SFLA,X3LA    |SF     |2-4,(14-16),18-20,34,36-38,(48),(50)                     |4DG,4/14WG,14DG,16-20DG,34-36DG,48-50DG,12DG,56-58DG,3G                     |D6,D10,D30,D28,BA,X3;
125    |LCJL|SFLA,XIILA    |SF     |2-4,(14-16),18-20,34,36-38,48                     |4DG,4/14WG,14DG,16-20DG,34-36DG,48-50DG,12DG,IIG                     |D6,D10,D30,D28,BA,XII;
126    |LCJL|SFLA,XILA    |SF     |2-4,(14-16),18-20,34,(36-38)                     |4DG,4/14WG,14DG,16-20DG,34-36DG,38DG,12DG,48-50DG,IG                     |D6,D10,D30,D28,XI;
127    |LCJL|SFLA,D30A,XVIILA    |SF     |2-4,(14-16),18-20,(34),44-46,(40-42),44-46,62-64                     |4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,40-46DG,42-44DG,62DG,VIIG                     |D6,D10,D30,D28,D34,D40,XVII;
128    |LCJL|SFLA,D30A,X6LA    |SF     |2-4,(14-16),18-20,(34),44-46,40-42,52                     |4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,40-46DG,52DG,54-60DG,6G                     |D6,D10,D30,D28,D34,D42,X6;
129    |LCJL|SFLA,D30A,X5LA    |SF     |2-4,(14-16),18-20,34,36-38,(48),50,54-56,(58-60),54-56                     |4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,48-50DG,56-58DG,54-60DG,5G                     |D6,D10,D30,D28,BA,X5;
130    |LCJL|SFLA,D30A,X4LA    |SF     |2-4,(14-16),18-20,34,36-38,(48),50,54-56,58-60                     |4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,48-50DG,56-58DG,4G                     |D6,D10,D30,D28,BA,X4;
131    |LCJL|SFLA,D30A,XVIIILA    |SF     |2-4,(14-16),18-20,(34),44-46,(40-42),44-46,(62-64),66-70                     |4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D6,D10,D30,D28,D34,D40,D46,XVIII;
132    |LCJL|SFLA,D34A,XVIILA    |SF     |2-4,(14-16),18-20,(34),44-46,(40-42),44-46,62-64                     |4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,42-44DG,62DG,VIIG                     |D6,D10,D30,D28,D34,D40,XVII;
133    |LCJL|SFLA,D34A,X6LA    |SF     |2-4,(14-16),18-20,(34),44-46,40-42,52                     |4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,52DG,54-60DG,6G                     |D6,D10,D30,D28,D34,D42,X6;
134    |LCJL|SFLA,D34A,X5LA    |SF     |2-4,(14-16),18-20,(34),44-46,40-42,(52),58-60,54-56                     |4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,52DG,54-60DG,5G                     |D6,D10,D30,D28,D34,D42,X5;
135    |LCJL|SFLA,D34A,X4LA    |SF     |2-4,(14-16),18-20,(34),44-46,40-42,(52),58-60,(54-56),58-60                     |4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,52DG,54-60DG,56-58DG,4G                     |D6,D10,D30,D28,D34,D42,X4;
136    |LCJL|SFLA,D34A,XVIIILA    |SF     |2-4,(14-16),18-20,(34),44-46,(40-42),44-46,(62-64),66-70                     |4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D6,D10,D30,D28,D34,D40,D46,XVIII;
137    |LCJL|SFLA,BAA,X5LA    |SF     |2-4,(14-16),18-20,34,36-38,(48),50,54-56,(58-60),54-56                     |4DG,4/14WG,14DG,16-20DG,12DG,48-50DG,56-58DG,54-60DG,5G                     |D6,D10,D30,D28,BA,X5;
138    |LCJL|SFLA,BAA,X4LA    |SF     |2-4,(14-16),18-20,34,36-38,(48),50,54-56,58-60                     |4DG,4/14WG,14DG,16-20DG,12DG,48-50DG,56-58DG,4G                     |D6,D10,D30,D28,BA,X4;
139    |LCJL|SFLA,D28A,XVIILA    |SF     |2-4,(14-16),18-20,(34),44-46,(40-42),44-46,62-64                     |4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,42-44DG,62DG,VIIG                     |D6,D10,D30,D28,D34,D40,XVII;
140    |LCJL|SFLA,D28A,X6LA    |SF     |2-4,(14-16),18-20,(34),44-46,40-42,52                     |4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,52DG,54-60DG,6G                     |D6,D10,D30,D28,D34,D42,X6;
141    |LCJL|SFLA,D28A,X5LA    |SF     |2-4,(14-16),18-20,(34),44-46,40-42,(52),58-60,54-56                     |4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,52DG,54-60DG,5G                     |D6,D10,D30,D28,D34,D42,X5;
142    |LCJL|SFLA,D28A,X4LA    |SF     |2-4,(14-16),18-20,34,36-38,(48),50,54-56,58-60                     |4DG,4/14WG,14DG,12DG,34-36DG,48-50DG,56-58DG,4G                     |D6,D10,D30,D28,BA,X4;
143    |LCJL|SFLA,D28A,XVIIILA    |SF     |2-4,(14-16),18-20,(34),44-46,(40-42),44-46,(62-64),66-70                     |4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D6,D10,D30,D28,D34,D40,D46,XVIII;
144    |LCJL|SFLA,XVIIILA    |SF     |2-4,14-16,10-12,40-42,44-46,(62-64),66-70                     |4DG,4/14WG,14DG,12DG,12/44WG,42-44DG,62DG,64DG,66DG,VIIIG                     |D6,D10,D22,D36,D40,D46,XVIII;
145    |LCJL|SLA,XVIILA    |S     |14-16,18-20,(34),44-46,(40-42),44-46,62-64                     |16-20DG,34-36DG,40-46DG,42-44DG,62DG,VIIG                     |D30,D28,D34,D40,XVII;
146    |LCJL|SLA,X6LA    |S     |14-16,18-20,(34),44-46,40-42,52                     |16-20DG,34-36DG,40-46DG,52DG,54-60DG,6G                     |D30,D28,D34,D42,X6;
147    |LCJL|SLA,X5LA    |S     |14-16,18-20,34,36-38,(48),50,54-56,(58-60),54-56                     |16-20DG,34-36DG,48-50DG,56-58DG,54-60DG,5G                     |D30,D28,BA,X5;
148    |LCJL|SLA,X4LA    |S     |14-16,18-20,34,36-38,(48),50,54-56,58-60                     |16-20DG,34-36DG,48-50DG,56-58DG,4G                     |D30,D28,BA,X4;
149    |LCJL|SLA,X3LA    |S     |14-16,18-20,34,36-38,(48),(50)                     |16-20DG,34-36DG,48-50DG,56-58DG,3G                     |D30,D28,BA,X3;
150    |LCJL|SLA,XIILA    |S     |14-16,18-20,34,36-38,48                     |16-20DG,34-36DG,48-50DG,IIG                     |D30,D28,BA,XII;
151    |LCJL|SLA,XILA    |S     |14-16,18-20,34,(36-38)                     |16-20DG,34-36DG,38DG,48-50DG,IG                     |D30,D28,XI;
152    |LCJL|SLA,D34A,X5LA    |S     |14-16,18-20,(34),44-46,40-42,(52),58-60,54-56                     |16-20DG,40-46DG,52DG,54-60DG,5G                     |D30,D28,D34,D42,X5;
153    |LCJL|SLA,D34A,X4LA    |S     |14-16,18-20,(34),44-46,40-42,(52),58-60,(54-56),58-60                     |16-20DG,40-46DG,52DG,54-60DG,56-58DG,4G                     |D30,D28,D34,D42,X4;
154    |LCJL|SLA,D28A,X5LA    |S     |14-16,18-20,(34),44-46,40-42,(52),58-60,54-56                     |,34-36DG,40-46DG,52DG,54-60DG,5G                     |D30,D28,D34,D42,X5;
155    |LCJL|SLA,XVIIILA    |S     |14-16,18-20,(34),44-46,(40-42),44-46,(62-64),66-70                     |16-20DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D30,D28,D34,D40,D46,XVIII;
156    |LCJL|SJLA,XVIILA    |SJ     |6-8,(18-20),(34),44-46,(40-42),44-46,62-64                     |8DG,18DG,16-20DG,34-36DG,40-46DG,42-44DG,62DG,26DG,VIIG                     |D14,D30,D28,D34,D40,XVII;
157    |LCJL|SJLA,X6LA    |SJ     |6-8,(18-20),(34),44-46,40-42,52                     |8DG,18DG,16-20DG,34-36DG,40-46DG,52DG,26DG,54-60DG,6G                     |D14,D30,D28,D34,D42,X6;
158    |LCJL|SJLA,X5LA    |SJ     |6-8,(18-20),34,36-38,(48),50,54-56,(58-60),54-56                     |8DG,18DG,16-20DG,34-36DG,48-50DG,56-58DG,54-60DG,26DG,5G                     |D14,D30,D28,BA,X5;
159    |LCJL|SJLA,X4LA    |SJ     |6-8,(18-20),34,36-38,(48),50,54-56,58-60                     |8DG,18DG,16-20DG,34-36DG,48-50DG,56-58DG,26DG,4G                     |D14,D30,D28,BA,X4;
160    |LCJL|SJLA,X3LA    |SJ     |6-8,(18-20),34,36-38,(48),(50)                     |8DG,18DG,16-20DG,34-36DG,48-50DG,26DG,56-58DG,3G                     |D14,D30,D28,BA,X3;
161    |LCJL|SJLA,XIILA    |SJ     |6-8,(18-20),34,36-38,48                     |8DG,18DG,16-20DG,34-36DG,48-50DG,26DG,IIG                     |D14,D30,D28,BA,XII;
162    |LCJL|SJLA,XILA    |SJ     |6-8,18-20,22-26,36-38                     |8DG,18DG,26DG,26/38WG,38DG,IG                     |D14,D26,D32,XI;
163    |LCJL|SJLA,D30A,XILA    |SJ     |6-8,(18-20),34,(36-38)                     |8DG,18DG,16-20DG,26DG,34-36DG,38DG,48-50DG,IG                     |D14,D30,D28,XI;
164    |LCJL|SJLA,D34A,X5LA    |SJ     |6-8,(18-20),(34),44-46,40-42,(52),58-60,54-56                     |8DG,18DG,16-20DG,26DG,40-46DG,52DG,54-60DG,5G                     |D14,D30,D28,D34,D42,X5;
165    |LCJL|SJLA,D34A,X4LA    |SJ     |6-8,(18-20),(34),44-46,40-42,(52),58-60,(54-56),58-60                     |8DG,18DG,16-20DG,26DG,40-46DG,52DG,54-60DG,56-58DG,4G                     |D14,D30,D28,D34,D42,X4;
166    |LCJL|SJLA,D28A,X5LA    |SJ     |6-8,(18-20),(34),44-46,40-42,(52),58-60,54-56                     |8DG,18DG,26DG,34-36DG,40-46DG,52DG,54-60DG,5G                     |D14,D30,D28,D34,D42,X5;
167    |LCJL|SJLA,D28A,XILA    |SJ     |6-8,(18-20),34,(36-38)                     |8DG,18DG,26DG,34-36DG,38DG,48-50DG,IG                     |D14,D30,D28,XI;
168    |LCJL|SJLA,XVIIILA    |SJ     |6-8,(18-20),(34),44-46,(40-42),44-46,(62-64),66-70                     |8DG,18DG,16-20DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,26DG,VIIIG                     |D14,D30,D28,D34,D40,D46,XVIII;
169    |LCJL|XVIIILA,D30A,SFLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,(14-16),2-4                     |66DG,64DG,62DG,42-44DG,40-46DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D46,D40,D34,D28,D30,D10,D6,SF;
170    |LCJL|XVIIILA,D30A,SJFLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,(14-16),(2-4)                     |66DG,64DG,62DG,42-44DG,40-46DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D46,D40,D34,D28,D30,D10,D6,D2,SJF;
171    |LCJL|XVIIILA,D10A,SJFLA    |XVIII     |66-70,(62-64),44-46,40-42,10-12,14-16,(2-4)                     |66DG,64DG,62DG,42-44DG,12/44WG,12DG,14DG,4/14WG,4DG,2DG,VIIIBG,YSJFG                     |D46,D40,D36,D22,D10,D6,D2,SJF;
172    |LCJL|XVIIILA,SFLA    |XVIII     |66-70,(62-64),44-46,40-42,10-12,14-16,2-4                     |66DG,64DG,62DG,42-44DG,12/44WG,12DG,14DG,4/14WG,4DG,X1LQ                     |D46,D40,D36,D22,D10,D6,SF;
173    |LCJL|XVIIILA,SLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,14-16                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,S3JG                     |D46,D40,D34,D28,D30,S;
174    |LCJL|XVIIILA,SJLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),(18-20),6-8                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |D46,D40,D34,D28,D30,D14,SJ;
175    |LCJL|XVIIILA,D36A,SJFLA    |XVIII     |66-70,(62-64),44-46,40-42,(10-12),2-4                     |66DG,64DG,62DG,42-44DG,12/44WG,12DG,10DG,2/10WG,2DG,VIIIBG,14DG,YSJFG                     |D46,D40,D36,D22,D12,D4,D2,SJF;
176    |LCJL|XVIIILA,D34A,SFLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,(14-16),2-4                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D46,D40,D34,D28,D30,D10,D6,SF;
177    |LCJL|XVIIILA,D34A,SJFLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,(14-16),(2-4)                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D46,D40,D34,D28,D30,D10,D6,D2,SJF;
178    |LCJL|XVIIILA,D28A,SFLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,(14-16),2-4                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D46,D40,D34,D28,D30,D10,D6,SF;
179    |LCJL|XVIIILA,D28A,SJFLA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,(14-16),(2-4)                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D46,D40,D34,D28,D30,D10,D6,D2,SJF;
180    |LCJL|XVIIILA,SJFLA    |XVIII     |66-70,62-64,10-12,2-4                     |66DG,64DG,10/64WG,10DG,2/10WG,2DG,VIIIBG,YSJFG                     |D46,D44,D16,D12,D4,D2,SJF;
181    |LCJL|SJFLA,XVIILA    |SJF     |2-4,(10-12),40-42,44-46,62-64                     |VIIIBG,2DG,2/10WG,10DG,12DG,12/44WG,42-44DG,62DG,14DG,VIIG                     |D2,D4,D12,D22,D36,D40,XVII;
182    |LCJL|SJFLA,X6LA    |SJF     |2-4,(10-12),40-42,(44-46),40-42,52                     |VIIIBG,2DG,2/10WG,10DG,12DG,12/44WG,42-44DG,40-46DG,52DG,14DG,54-60DG,6G                     |D2,D4,D12,D22,D36,D42,X6;
183    |LCJL|SJFLA,X5LA    |SJF     |2-4,(10-12),40-42,(44-46),40-42,(52),58-60,54-56                     |VIIIBG,2DG,2/10WG,10DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,14DG,5G                     |D2,D4,D12,D22,D36,D42,X5;
184    |LCJL|SJFLA,X4LA    |SJF     |2-4,(10-12),40-42,(44-46),40-42,(52),58-60,(54-56),58-60                     |VIIIBG,2DG,2/10WG,10DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,56-58DG,14DG,4G                     |D2,D4,D12,D22,D36,D42,X4;
185    |LCJL|SJFLA,X3LA    |SJF     |(2-4),(14-16),18-20,34,36-38,(48),(50)                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,34-36DG,48-50DG,12DG,56-58DG,3G                     |D2,D6,D10,D30,D28,BA,X3;
186    |LCJL|SJFLA,XIILA    |SJF     |(2-4),(14-16),18-20,34,36-38,48                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,34-36DG,48-50DG,12DG,IIG                     |D2,D6,D10,D30,D28,BA,XII;
187    |LCJL|SJFLA,XILA    |SJF     |(2-4),(14-16),18-20,34,(36-38)                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,34-36DG,38DG,12DG,48-50DG,IG                     |D2,D6,D10,D30,D28,XI;
188    |LCJL|SJFLA,D30A,XVIILA    |SJF     |(2-4),(14-16),18-20,(34),44-46,(40-42),44-46,62-64                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,40-46DG,42-44DG,62DG,VIIG                     |D2,D6,D10,D30,D28,D34,D40,XVII;
189    |LCJL|SJFLA,D30A,X6LA    |SJF     |(2-4),(14-16),18-20,(34),44-46,40-42,52                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,40-46DG,52DG,54-60DG,6G                     |D2,D6,D10,D30,D28,D34,D42,X6;
190    |LCJL|SJFLA,D30A,X5LA    |SJF     |(2-4),(14-16),18-20,34,36-38,(48),50,54-56,(58-60),54-56                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,48-50DG,56-58DG,54-60DG,5G                     |D2,D6,D10,D30,D28,BA,X5;
191    |LCJL|SJFLA,D30A,X4LA    |SJF     |(2-4),(14-16),18-20,34,36-38,(48),50,54-56,58-60                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,48-50DG,56-58DG,4G                     |D2,D6,D10,D30,D28,BA,X4;
192    |LCJL|SJFLA,D30A,XVIIILA    |SJF     |(2-4),(14-16),18-20,(34),44-46,(40-42),44-46,(62-64),66-70                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D2,D6,D10,D30,D28,D34,D40,D46,XVIII;
193    |LCJL|SJFLA,D10A,XVIILA    |SJF     |(2-4),14-16,10-12,40-42,44-46,62-64                     |VIIIBG,2DG,4DG,14DG,12DG,12/44WG,42-44DG,62DG,VIIG                     |D2,D6,D10,D22,D36,D40,XVII;
194    |LCJL|SJFLA,D10A,X6LA    |SJF     |(2-4),14-16,10-12,40-42,(44-46),40-42,52                     |VIIIBG,2DG,4DG,14DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,6G                     |D2,D6,D10,D22,D36,D42,X6;
195    |LCJL|SJFLA,D10A,X5LA    |SJF     |(2-4),14-16,10-12,40-42,(44-46),40-42,(52),58-60,54-56                     |VIIIBG,2DG,4DG,14DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,5G                     |D2,D6,D10,D22,D36,D42,X5;
196    |LCJL|SJFLA,D10A,X4LA    |SJF     |(2-4),14-16,10-12,40-42,(44-46),40-42,(52),58-60,(54-56),58-60                     |VIIIBG,2DG,4DG,14DG,12DG,12/44WG,42-44DG,40-46DG,52DG,54-60DG,56-58DG,4G                     |D2,D6,D10,D22,D36,D42,X4;
197    |LCJL|SJFLA,D10A,XVIIILA    |SJF     |(2-4),14-16,10-12,40-42,44-46,(62-64),66-70                     |VIIIBG,2DG,4DG,14DG,12DG,12/44WG,42-44DG,62DG,64DG,66DG,VIIIG                     |D2,D6,D10,D22,D36,D40,D46,XVIII;
198    |LCJL|SJFLA,D36A,XVIIILA    |SJF     |2-4,(10-12),40-42,44-46,(62-64),66-70                     |VIIIBG,2DG,2/10WG,10DG,12DG,14DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D2,D4,D12,D22,D36,D40,D46,XVIII;
199    |LCJL|SJFLA,D34A,XVIILA    |SJF     |(2-4),(14-16),18-20,(34),44-46,(40-42),44-46,62-64                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,42-44DG,62DG,VIIG                     |D2,D6,D10,D30,D28,D34,D40,XVII;
200    |LCJL|SJFLA,D34A,X6LA    |SJF     |(2-4),(14-16),18-20,(34),44-46,40-42,52                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,52DG,54-60DG,6G                     |D2,D6,D10,D30,D28,D34,D42,X6;
201    |LCJL|SJFLA,D34A,X5LA    |SJF     |(2-4),(14-16),18-20,(34),44-46,40-42,(52),58-60,54-56                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,52DG,54-60DG,5G                     |D2,D6,D10,D30,D28,D34,D42,X5;
202    |LCJL|SJFLA,D34A,X4LA    |SJF     |(2-4),(14-16),18-20,(34),44-46,40-42,(52),58-60,(54-56),58-60                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,52DG,54-60DG,56-58DG,4G                     |D2,D6,D10,D30,D28,D34,D42,X4;
203    |LCJL|SJFLA,D34A,XVIIILA    |SJF     |(2-4),(14-16),18-20,(34),44-46,(40-42),44-46,(62-64),66-70                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,40-46DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D2,D6,D10,D30,D28,D34,D40,D46,XVIII;
204    |LCJL|SJFLA,BAA,X5LA    |SJF     |(2-4),(14-16),18-20,34,36-38,(48),50,54-56,(58-60),54-56                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,48-50DG,56-58DG,54-60DG,5G                     |D2,D6,D10,D30,D28,BA,X5;
205    |LCJL|SJFLA,BAA,X4LA    |SJF     |(2-4),(14-16),18-20,34,36-38,(48),50,54-56,58-60                     |VIIIBG,2DG,4DG,4/14WG,14DG,16-20DG,12DG,48-50DG,56-58DG,4G                     |D2,D6,D10,D30,D28,BA,X4;
206    |LCJL|SJFLA,D28A,XVIILA    |SJF     |(2-4),(14-16),18-20,(34),44-46,(40-42),44-46,62-64                     |VIIIBG,2DG,4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,42-44DG,62DG,VIIG                     |D2,D6,D10,D30,D28,D34,D40,XVII;
207    |LCJL|SJFLA,D28A,X6LA    |SJF     |(2-4),(14-16),18-20,(34),44-46,40-42,52                     |VIIIBG,2DG,4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,52DG,54-60DG,6G                     |D2,D6,D10,D30,D28,D34,D42,X6;
208    |LCJL|SJFLA,D28A,X5LA    |SJF     |(2-4),(14-16),18-20,(34),44-46,40-42,(52),58-60,54-56                     |VIIIBG,2DG,4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,52DG,54-60DG,5G                     |D2,D6,D10,D30,D28,D34,D42,X5;
209    |LCJL|SJFLA,D28A,X4LA    |SJF     |(2-4),(14-16),18-20,34,36-38,(48),50,54-56,58-60                     |VIIIBG,2DG,4DG,4/14WG,14DG,12DG,34-36DG,48-50DG,56-58DG,4G                     |D2,D6,D10,D30,D28,BA,X4;
210    |LCJL|SJFLA,D28A,XVIIILA    |SJF     |(2-4),(14-16),18-20,(34),44-46,(40-42),44-46,(62-64),66-70                     |VIIIBG,2DG,4DG,4/14WG,14DG,12DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,VIIIG                     |D2,D6,D10,D30,D28,D34,D40,D46,XVIII;
211    |LCJL|SJFLA,XVIIILA    |SJF     |2-4,10-12,62-64,66-70                     |VIIIBG,2DG,2/10WG,10DG,10/64WG,64DG,66DG,VIIIG                     |D2,D4,D12,D16,D44,D46,XVIII;
//延续
//通过
212    |TGJL|XTA,SFLA    |X     |1-3,5-7,9-11,27,62-64,44-46,40-42,10-12,14-16,2-4                     |VIIAG,1DG,7DG,7/9WG,9DG,9/27WG,27DG,62DG,42-44DG,12/44WG,12DG,14DG,4/14WG,4DG,X1LQ                     |D1,D3,D9,D11,D19,D25,SVII,D40,D36,D22,D10,D6,SF;
213    |TGJL|STA,XFLA    |S     |14-16,18-20,34,36-38,48,23-25,13-15,17-19,5-7,1-3                     |16-20DG,34-36DG,48-50DG,23DG,13-19DG,5/13WG,5DG,3DG,S1LQ                     |D30,D28,BA,XII,D23,D15,D7,D5,XF;
//调车
214    |DCJL|D3A,D1A    |D3     |1-3                     |1DG                     |D1;
215    |DCJL|D5A,D9A    |D5     |(5-7)                     |5DG,7DG                     |D9;
216    |DCJL|D5A,D7A    |D5     |5-7                     |5DG                     |D7;
217    |DCJL|D5A,D21A    |D5     |5-7,17-19,(13-15),17-19                     |5DG,13-19DG,15-17DG                     |D7;
218    |DCJL|D5A,D23A    |D5     |5-7,17-19,13-15                     |5DG,13-19DG                     |D7;
219    |DCJL|D5A,D29A    |D5     |5-7,17-19,(13-15),17-19,(21)                     |5DG,13-19DG,15-17DG,21DG                     |D7;
220    |DCJL|D5A,D19A    |D5     |(5-7),9-11                     |5DG,7DG,9DG                     |D9;
