//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
31    |LCJL|XLA,D23A,S7LLA    |X     |1-3,(5-7),35-37,(39-41),35-37,(43),47,60-62                     |IAG,1-5DG,7-9DG,13DG,37-39DG,35-41DG,43-47DG,7G1,60DG,45-49DG,7G2                     |D1,D13,D23,D39,D41,S7,X7L,S7L;
32    |LCJL|XLA,S23LA    |X     |1-3,(5-7),35-37,39-41,(51-53)                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,53DG,13DG,55-57DG,23G1                     |D1,D13,D23,D35,D37,S23;
33    |LCJL|XLA,S21LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,(57)                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,55-57DG,13DG,21G1                     |D1,D13,D23,D35,D37,S21;
34    |LCJL|XLA,S19LA    |X     |1-3,(5-7),35-37,39-41,51-53,55,57                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,55-57DG,13DG,19G1                     |D1,D13,D23,D35,D37,S19;
35    |LCJL|XLA,S17LA    |X     |1-3,(5-7),35-37,39-41,51-53,(55)                     |IAG,1-5DG,7-9DG,7/39G,37-39DG,51DG,55-57DG,13DG,17G1                     |D1,D13,D23,D35,D37,S17;
36    |LCJL|XLA,S15LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,(45)                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,15G1                     |D1,D21,D39,D41,S15;
37    |LCJL|XLA,S13LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,45,(49)                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,13G1                     |D1,D21,D39,D41,S13;
38    |LCJL|XLA,S11LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,45,49                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,11G1                     |D1,D21,D39,D41,S11;
39    |LCJL|XLA,S9LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,(43),(47)                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,9G1                     |D1,D21,D39,D41,S9;
40    |LCJL|XLA,S7LA    |X     |1-3,5-7,11-13,(23),39-41,35-37,(43),47                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,7G1                     |D1,D21,D39,D41,S7;
41    |LCJL|XLA,S5LA    |X     |1-3,5-7,11-13,23,(27),(33)                     |IAG,1-5DG,13DG,23DG,27DG,33DG,35-41DG,5G1                     |D1,D21,D43,S5;
42    |LCJL|XLA,S3LA    |X     |1-3,5-7,11-13,23,(27),33                     |IAG,1-5DG,13DG,23DG,27DG,33DG,35-41DG,3G1                     |D1,D21,D43,S3;
43    |LCJL|XLA,SILA    |X     |1-3,5-7,11-13,23,27                     |IAG,1-5DG,13DG,23DG,27DG,35-41DG,IG1                     |D1,D21,SI;
44    |LCJL|XLA,SIILA    |X     |(1-3),11-13,17-19                     |IAG,1-5DG,3DG,11DG,17DG,IIG1                     |D1,D7,D15,SII;
45    |LCJL|XLA,S4LA    |X     |(1-3),11-13,(17-19),29                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,4G1                     |D1,D7,D15,D27,D29,S4;
46    |LCJL|XLA,S6LA    |X     |(1-3),11-13,(17-19),(29),(31)                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,6G1                     |D1,D7,D15,D27,D29,S6;
47    |LCJL|XLA,S8LA    |X     |(1-3),11-13,(17-19),(29),31                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,8G1                     |D1,D7,D15,D27,D29,S8;
48    |LCJL|XLA,D52LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,(51-53)                     |IAG,1-5DG,13DG,23DG,35-41DG,37-39DG,51DG,53DG,23G1,23G2,55-57DG                     |D1,D21,D35,D37,S23,X23L,D52LA;
49    |LCJL|XLA,D62LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,55,(57),90-92                     |IAG,1-5DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,21G1,92DG,21G2                     |D1,D21,D35,D37,S21,X21L,D62;
50    |LCJL|XLA,D58LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,55,57,90-92,86-88                     |IAG,1-5DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,19G1,90DG,88DG,19G2                     |D1,D21,D35,D37,S19,X19L,D60,D58;
51    |LCJL|XLA,D56LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,(55),86-88                     |IAG,1-5DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,17G1,86DG,17G2                     |D1,D21,D35,D37,S17,X17L,D56;
52    |LCJL|XLA,S15LLA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,45,(49),56-58,(52-54)                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,13G1,54-58DG,52DG,15G2                     |D1,D21,D39,D41,S13,X13L,S15L;
53    |LCJL|XLA,S13LLA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,45,(49),56-58,52-54                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,13G1,54-58DG,13G2                     |D1,D21,D39,D41,S13,X13L,S13L;
54    |LCJL|XLA,S11LLA    |X     |1-3,5-7,11-13,(23),39-41,35-37,43,45,49,56-58                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,45-49DG,11G1,56DG,11G2                     |D1,D21,D39,D41,S11,X11L,S11L;
55    |LCJL|XLA,S9LLA    |X     |1-3,5-7,11-13,(23),39-41,35-37,(43),(47),60-62                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,9G1,62DG,45-49DG,9G2                     |D1,D21,D39,D41,S9,X9L,S9L;
56    |LCJL|XLA,S7LLA    |X     |1-3,5-7,11-13,(23),39-41,35-37,(43),47,60-62                     |IAG,1-5DG,13DG,23DG,35-41DG,43-47DG,7G1,60DG,45-49DG,7G2                     |D1,D21,D39,D41,S7,X7L,S7L;
57    |LCJL|XLA,X5LLZA    |X     |1-3,5-7,11-13,23,(27),(33)                     |IAG,1-5DG,13DG,23DG,27DG,33DG,5G1,35-41DG,5G2                     |D1,D21,D43,S5,X5L,X5LLZA;
58    |LCJL|XLA,X3LLZA    |X     |1-3,5-7,11-13,23,(27),33                     |IAG,1-5DG,13DG,23DG,27DG,33DG,3G1,35-41DG,3G2                     |D1,D21,D43,S3,X3L,X3LLZA;
59    |LCJL|XLA,XILLZA    |X     |1-3,5-7,11-13,23,27                     |IAG,1-5DG,13DG,23DG,27DG,IG1,35-41DG,IG2                     |D1,D21,SI,XIL,XILLZA;
