//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
254    |LCJL|X7LA,SWLA    |X7     |(42),(40),(32),24,(16-18),(10-12),(2-4),X1-X2                     |40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,30DG,26-34DG,SWJG                     |D34,D28,D22,SL2,XZ3,D2,SW;
255    |LCJL|X7LA,SL6LA    |X7     |(42),(40),(32),24,16-18,(14)                     |40-42DG,24-32DG,18DG,14DG,SL4G,30DG,26-34DG,SL6G                     |D34,D26,SL4,65XHD,SL6;
256    |LCJL|X5LA,SL4LA    |X5     |42,(40),(32),24,16-18,(14)                     |40-42DG,24-32DG,18DG,14DG,30DG,26-34DG                     |D34,D26,SL4;
257    |LCJL|X5LA,SNLA    |X5     |42,(40),(32),24,(16-18),10-12,6-8                     |40-42DG,24-32DG,18DG,16-28DG,12DG,8DG,30DG,26-34DG,X1LQ                     |D34,D28,D20,SN;
258    |LCJL|X5LA,SLA    |X5     |42,(40),(32),24,(16-18),(10-12),2-4                     |40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,30DG,26-34DG,S3JG                     |D34,D28,D22,S;
259    |LCJL|X5LA,SL2LA    |X5     |42,(40),(32),24,(16-18),(10-12),(2-4)                     |40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,30DG,26-34DG,X1/2G                     |D34,D28,D22,SL2;
260    |LCJL|X5LA,SWLA    |X5     |42,(40),(32),24,(16-18),(10-12),(2-4),X1-X2                     |40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,30DG,26-34DG,SWJG                     |D34,D28,D22,SL2,XZ3,D2,SW;
261    |LCJL|X5LA,SL6LA    |X5     |42,(40),(32),24,16-18,(14)                     |40-42DG,24-32DG,18DG,14DG,SL4G,30DG,26-34DG,SL6G                     |D34,D26,SL4,65XHD,SL6;
262    |LCJL|X3LA,D28A,SNLA    |X3     |44-46,28-30,32,24,(16-18),10-12,6-8                     |44DG,30DG,24-32DG,18DG,16-28DG,40-42DG,26-34DG,12DG,8DG,X1LQ                     |D50,D34,D28,D20,SN;
263    |LCJL|X3LA,D28A,SLA    |X3     |44-46,28-30,32,24,(16-18),(10-12),2-4                     |44DG,30DG,24-32DG,18DG,16-28DG,40-42DG,26-34DG,12DG,10DG,4DG,S3JG                     |D50,D34,D28,D22,S;
264    |LCJL|X3LA,D34A,SNLA    |X3     |44-46,28-30,32,24,(16-18),10-12,6-8                     |44DG,30DG,24-32DG,40-42DG,26-34DG,18DG,16-28DG,12DG,8DG,X1LQ                     |D50,D34,D28,D20,SN;
265    |LCJL|X3LA,D34A,SLA    |X3     |44-46,28-30,32,24,(16-18),(10-12),2-4                     |44DG,30DG,24-32DG,40-42DG,26-34DG,18DG,16-28DG,12DG,10DG,4DG,S3JG                     |D50,D34,D28,D22,S;
266    |LCJL|X3LA,SL4LA    |X3     |44-46,28-30,32,24,16-18,(14)                     |44DG,30DG,24-32DG,18DG,14DG,40-42DG,26-34DG                     |D50,D34,D26,SL4;
267    |LCJL|X3LA,SNLA    |X3     |44-46,(28-30),20-22,16-18,10-12,6-8                     |44DG,30DG,16-28DG,12DG,8DG,24-32DG,X1LQ                     |D50,D28,D20,SN;
268    |LCJL|X3LA,SLA    |X3     |44-46,(28-30),20-22,16-18,(10-12),2-4                     |44DG,30DG,16-28DG,12DG,10DG,4DG,24-32DG,S3JG                     |D50,D28,D22,S;
269    |LCJL|X3LA,SL2LA    |X3     |44-46,28-30,32,24,(16-18),(10-12),(2-4)                     |44DG,30DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,40-42DG,26-34DG,X1/2G                     |D50,D34,D28,D22,SL2;
270    |LCJL|X3LA,SWLA    |X3     |44-46,28-30,32,24,(16-18),(10-12),(2-4),X1-X2                     |44DG,30DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,40-42DG,26-34DG,SWJG                     |D50,D34,D28,D22,SL2,XZ3,D2,SW;
271    |LCJL|X3LA,SL6LA    |X3     |44-46,28-30,32,24,16-18,(14)                     |44DG,30DG,24-32DG,18DG,14DG,SL4G,40-42DG,26-34DG,SL6G                     |D50,D34,D26,SL4,65XHD,SL6;
272    |LCJL|XILA,D34A,SNLA    |XI     |(44-46),28-30,32,24,(16-18),10-12,6-8                     |46DG,44DG,30DG,24-32DG,40-42DG,26-34DG,18DG,16-28DG,12DG,8DG,X1LQ                     |D50,D34,D28,D20,SN;
273    |LCJL|XILA,D34A,SLA    |XI     |(44-46),28-30,32,24,(16-18),(10-12),2-4                     |46DG,44DG,30DG,24-32DG,40-42DG,26-34DG,18DG,16-28DG,12DG,10DG,4DG,S3JG                     |D50,D34,D28,D22,S;
274    |LCJL|XILA,D34A,SL2LA    |XI     |(44-46),28-30,32,24,(16-18),(10-12),(2-4)                     |46DG,44DG,30DG,24-32DG,40-42DG,26-34DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G                     |D50,D34,D28,D22,SL2;
275    |LCJL|XILA,D34A,SWLA    |XI     |(44-46),28-30,32,24,(16-18),(10-12),(2-4),X1-X2                     |46DG,44DG,30DG,24-32DG,40-42DG,26-34DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D50,D34,D28,D22,SL2,XZ3,D2,SW;
276    |LCJL|XILA,SL4LA    |XI     |(44-46),28-30,32,24,16-18,(14)                     |46DG,44DG,30DG,24-32DG,18DG,14DG,40-42DG,26-34DG                     |D50,D34,D26,SL4;
277    |LCJL|XILA,SNLA    |XI     |44-46,28-30,20-22,16-18,10-12,6-8                     |46DG,16-28DG,12DG,8DG,X1LQ                     |D28,D20,SN;
278    |LCJL|XILA,SLA    |XI     |44-46,28-30,20-22,16-18,(10-12),2-4                     |46DG,16-28DG,12DG,10DG,4DG,S3JG                     |D28,D22,S;
279    |LCJL|XILA,SL2LA    |XI     |44-46,28-30,20-22,16-18,(10-12),(2-4)                     |46DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G                     |D28,D22,SL2;
280    |LCJL|XILA,SWLA    |XI     |44-46,28-30,20-22,16-18,(10-12),(2-4),X1-X2                     |46DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D28,D22,SL2,XZ3,D2,SW;
281    |LCJL|XILA,SL6LA    |XI     |(44-46),28-30,32,24,16-18,(14)                     |46DG,44DG,30DG,24-32DG,18DG,14DG,SL4G,40-42DG,26-34DG,SL6G                     |D50,D34,D26,SL4,65XHD,SL6;
282    |LCJL|XIILA,D28A,SLA    |XII     |36-38,(20-22),16-18,(10-12),2-4                     |36DG,22DG,16-28DG,12DG,10DG,4DG,S3JG                     |D44,D28,D22,S;
283    |LCJL|XIILA,D28A,SL2LA    |XII     |36-38,(20-22),16-18,(10-12),(2-4)                     |36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G                     |D44,D28,D22,SL2;
284    |LCJL|XIILA,D28A,SWLA    |XII     |36-38,(20-22),16-18,(10-12),(2-4),X1-X2                     |36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D44,D28,D22,SL2,XZ3,D2,SW;
285    |LCJL|XIILA,SNLA    |XII     |36-38,(20-22),16-18,10-12,6-8                     |36DG,22DG,16-28DG,12DG,8DG,X1LQ                     |D44,D28,D20,SN;
286    |LCJL|XIILA,SLA    |XII     |36-38,20-22,10-12,2-4                     |36DG,22DG,10DG,4DG,S3JG                     |D44,D24,D22,S;
287    |LCJL|XIILA,SL2LA    |XII     |36-38,20-22,10-12,(2-4)                     |36DG,22DG,10DG,4DG,2DG,X1/2G                     |D44,D24,D22,SL2;
288    |LCJL|XIILA,SWLA    |XII     |36-38,20-22,10-12,(2-4),X1-X2                     |36DG,22DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D44,D24,D22,SL2,XZ3,D2,SW;
289    |LCJL|X4LA,D28A,SLA    |X4     |48,(36-38),(20-22),16-18,(10-12),2-4                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,S3JG                     |D54,D44,D28,D22,S;
290    |LCJL|X4LA,D28A,SL2LA    |X4     |48,(36-38),(20-22),16-18,(10-12),(2-4)                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G                     |D54,D44,D28,D22,SL2;
291    |LCJL|X4LA,D28A,SWLA    |X4     |48,(36-38),(20-22),16-18,(10-12),(2-4),X1-X2                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D28,D22,SL2,XZ3,D2,SW;
292    |LCJL|X4LA,D24A,SL2LA    |X4     |48,(36-38),20-22,10-12,(2-4)                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G                     |D54,D44,D24,D22,SL2;
293    |LCJL|X4LA,D24A,SWLA    |X4     |48,(36-38),20-22,10-12,(2-4),X1-X2                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D24,D22,SL2,XZ3,D2,SW;
294    |LCJL|X4LA,SNLA    |X4     |48,(36-38),(20-22),16-18,10-12,6-8                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,8DG,X1LQ                     |D54,D44,D28,D20,SN;
295    |LCJL|X4LA,SLA    |X4     |48,(36-38),20-22,10-12,2-4                     |48-50DG,38DG,36DG,22DG,10DG,4DG,S3JG                     |D54,D44,D24,D22,S;
296    |LCJL|X4LA,SL2LA    |X4     |48,36-38,2-4                     |48-50DG,38DG,2/38G,2DG,X1/2G                     |D54,D46,D18,SL2;
297    |LCJL|X4LA,SWLA    |X4     |48,36-38,2-4,X1-X2                     |48-50DG,38DG,2/38G,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D46,D18,SL2,XZ3,D2,SW;
298    |LCJL|X6LA,D28A,SLA    |X6     |(50),(48),(36-38),(20-22),16-18,(10-12),2-4                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,S3JG                     |D54,D44,D28,D22,S;
299    |LCJL|X6LA,D28A,SL2LA    |X6     |(50),(48),(36-38),(20-22),16-18,(10-12),(2-4)                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G                     |D54,D44,D28,D22,SL2;
300    |LCJL|X6LA,D28A,SWLA    |X6     |(50),(48),(36-38),(20-22),16-18,(10-12),(2-4),X1-X2                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D28,D22,SL2,XZ3,D2,SW;
301    |LCJL|X6LA,D24A,SL2LA    |X6     |(50),(48),(36-38),20-22,10-12,(2-4)                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G                     |D54,D44,D24,D22,SL2;
302    |LCJL|X6LA,D24A,SWLA    |X6     |(50),(48),(36-38),20-22,10-12,(2-4),X1-X2                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D24,D22,SL2,XZ3,D2,SW;
303    |LCJL|X6LA,SNLA    |X6     |(50),(48),(36-38),(20-22),16-18,10-12,6-8                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,8DG,X1LQ                     |D54,D44,D28,D20,SN;
304    |LCJL|X6LA,SLA    |X6     |(50),(48),(36-38),20-22,10-12,2-4                     |48-50DG,38DG,36DG,22DG,10DG,4DG,S3JG                     |D54,D44,D24,D22,S;
305    |LCJL|X6LA,SL2LA    |X6     |(50),(48),36-38,2-4                     |48-50DG,38DG,2/38G,2DG,X1/2G                     |D54,D46,D18,SL2;
306    |LCJL|X6LA,SWLA    |X6     |(50),(48),36-38,2-4,X1-X2                     |48-50DG,38DG,2/38G,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D46,D18,SL2,XZ3,D2,SW;
307    |LCJL|X8LA,D28A,SLA    |X8     |50,(48),(36-38),(20-22),16-18,(10-12),2-4                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,S3JG                     |D54,D44,D28,D22,S;
308    |LCJL|X8LA,D28A,SL2LA    |X8     |50,(48),(36-38),(20-22),16-18,(10-12),(2-4)                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G                     |D54,D44,D28,D22,SL2;
309    |LCJL|X8LA,D28A,SWLA    |X8     |50,(48),(36-38),(20-22),16-18,(10-12),(2-4),X1-X2                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D28,D22,SL2,XZ3,D2,SW;
310    |LCJL|X8LA,D24A,SL2LA    |X8     |50,(48),(36-38),20-22,10-12,(2-4)                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G                     |D54,D44,D24,D22,SL2;
311    |LCJL|X8LA,D24A,SWLA    |X8     |50,(48),(36-38),20-22,10-12,(2-4),X1-X2                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D24,D22,SL2,XZ3,D2,SW;
312    |LCJL|X8LA,SNLA    |X8     |50,(48),(36-38),(20-22),16-18,10-12,6-8                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,8DG,X1LQ                     |D54,D44,D28,D20,SN;
313    |LCJL|X8LA,SLA    |X8     |50,(48),(36-38),20-22,10-12,2-4                     |48-50DG,38DG,36DG,22DG,10DG,4DG,S3JG                     |D54,D44,D24,D22,S;
314    |LCJL|X8LA,SL2LA    |X8     |50,(48),36-38,2-4                     |48-50DG,38DG,2/38G,2DG,X1/2G                     |D54,D46,D18,SL2;
315    |LCJL|X8LA,SWLA    |X8     |50,(48),36-38,2-4,X1-X2                     |48-50DG,38DG,2/38G,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D46,D18,SL2,XZ3,D2,SW;
316    |LCJL|SL4LA,X15LLA    |SL4     |(14),16-18,(24),(26),52-54                     |14DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D26,D34,X15,S15L,X15L;
317    |LCJL|SL4LA,X13LLA    |SL4     |(14),16-18,(24),26,34,(56-58)                     |14DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D26,D34,X11,S11L,X13L;
318    |LCJL|SL4LA,X11LLA    |SL4     |(14),16-18,(24),26,34,56-58                     |14DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D26,D34,X11,S11L,X11L;
319    |LCJL|SL4LA,X9LLA    |SL4     |(14),16-18,24,(32),40,60-62                     |14DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D26,D34,X9,S9L,X9L;
320    |LCJL|SL4LA,X7LLA    |SL4     |(14),16-18,24,(32),(40),(42),60-62                     |14DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D26,D34,X7,S7L,X7L;
321    |LCJL|SL4LA,X15LA    |SL4     |(14),16-18,(24),(26)                     |14DG,18DG,24-32DG,26-34DG,15G2                     |D26,D34,X15;
322    |LCJL|SL4LA,X13LA    |SL4     |(14),16-18,(24),26,(34)                     |14DG,18DG,24-32DG,26-34DG,13G2                     |D26,D34,X13;
323    |LCJL|SL4LA,X11LA    |SL4     |(14),16-18,(24),26,34                     |14DG,18DG,24-32DG,26-34DG,11G2                     |D26,D34,X11;
324    |LCJL|SL4LA,X9LA    |SL4     |(14),16-18,24,(32),40                     |14DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D26,D34,X9;
325    |LCJL|SL4LA,X7LA    |SL4     |(14),16-18,24,(32),(40),(42)                     |14DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D26,D34,X7;
326    |LCJL|SL4LA,X5LA    |SL4     |(14),16-18,24,(32),(40),42                     |14DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D26,D34,X5;
327    |LCJL|SL4LA,X3LA    |SL4     |(14),16-18,24,32,28-30,44-46                     |14DG,18DG,24-32DG,30DG,44DG,26-34DG,40-42DG,3G2                     |D26,D34,D50,X3;
328    |LCJL|SL4LA,XILA    |SL4     |(14),16-18,24,32,28-30,(44-46)                     |14DG,18DG,24-32DG,30DG,44DG,46DG,26-34DG,40-42DG,IG2                     |D26,D34,D50,XI;
329    |LCJL|SNLA,SIILLZA    |SN     |6-8,10-12,16-18,(20-22),36-38                     |8DG,12DG,16-28DG,22DG,36DG,IIG2,IIG1                     |D20,D28,D44,XII,SIIL,SIILLZA;
330    |LCJL|SNLA,S4LLZA    |SN     |6-8,10-12,16-18,(20-22),(36-38),48                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,4G2,4G1                     |D20,D28,D44,D54,X4,S4L,S4LLZA;
331    |LCJL|SNLA,S6LLZA    |SN     |6-8,10-12,16-18,(20-22),(36-38),(48),(50)                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,6G2,6G1                     |D20,D28,D44,D54,X6,S6L,S6LLZA;
332    |LCJL|SNLA,S8LLZA    |SN     |6-8,10-12,16-18,(20-22),(36-38),(48),50                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,8G2,8G1                     |D20,D28,D44,D54,X8,S8L,S8LLZA;
333    |LCJL|SNLA,X15LLA    |SN     |6-8,10-12,(16-18),(24),(26),52-54                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D20,D28,D34,X15,S15L,X15L;
334    |LCJL|SNLA,X13LLA    |SN     |6-8,10-12,(16-18),(24),26,34,(56-58)                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D20,D28,D34,X11,S11L,X13L;
335    |LCJL|SNLA,X11LLA    |SN     |6-8,10-12,(16-18),(24),26,34,56-58                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D20,D28,D34,X11,S11L,X11L;
336    |LCJL|SNLA,X9LLA    |SN     |6-8,10-12,(16-18),24,(32),40,60-62                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D20,D28,D34,X9,S9L,X9L;
337    |LCJL|SNLA,X7LLA    |SN     |6-8,10-12,(16-18),24,(32),(40),(42),60-62                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D20,D28,D34,X7,S7L,X7L;
338    |LCJL|SNLA,X15LA    |SN     |6-8,10-12,(16-18),(24),(26)                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2                     |D20,D28,D34,X15;
339    |LCJL|SNLA,X13LA    |SN     |6-8,10-12,(16-18),(24),26,(34)                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,13G2                     |D20,D28,D34,X13;
340    |LCJL|SNLA,X11LA    |SN     |6-8,10-12,(16-18),(24),26,34                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2                     |D20,D28,D34,X11;
341    |LCJL|SNLA,X9LA    |SN     |6-8,10-12,(16-18),24,(32),40                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D20,D28,D34,X9;
342    |LCJL|SNLA,X7LA    |SN     |6-8,10-12,(16-18),24,(32),(40),(42)                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D20,D28,D34,X7;
343    |LCJL|SNLA,X5LA    |SN     |6-8,10-12,(16-18),24,(32),(40),42                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D20,D28,D34,X5;
344    |LCJL|SNLA,X3LA    |SN     |6-8,10-12,16-18,20-22,(28-30),44-46                     |8DG,12DG,16-28DG,30DG,44DG,24-32DG,3G2                     |D20,D28,D50,X3;
345    |LCJL|SNLA,XILA    |SN     |6-8,10-12,16-18,20-22,28-30,44-46                     |8DG,12DG,16-28DG,46DG,IG2                     |D20,D28,XI;
346    |LCJL|SNLA,XIILA    |SN     |6-8,10-12,16-18,(20-22),36-38                     |8DG,12DG,16-28DG,22DG,36DG,IIG2                     |D20,D28,D44,XII;
347    |LCJL|SNLA,X4LA    |SN     |6-8,10-12,16-18,(20-22),(36-38),48                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,4G2                     |D20,D28,D44,D54,X4;
348    |LCJL|SNLA,X6LA    |SN     |6-8,10-12,16-18,(20-22),(36-38),(48),(50)                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,6G2                     |D20,D28,D44,D54,X6;
349    |LCJL|SNLA,X8LA    |SN     |6-8,10-12,16-18,(20-22),(36-38),(48),50                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,8G2                     |D20,D28,D44,D54,X8;
350    |LCJL|SNLA,D34A,X3LA    |SN     |6-8,10-12,(16-18),24,32,28-30,44-46                     |8DG,12DG,16-28DG,24-32DG,30DG,44DG,26-34DG,40-42DG,3G2                     |D20,D28,D34,D50,X3;
351    |LCJL|SNLA,D34A,XILA    |SN     |6-8,10-12,(16-18),24,32,28-30,(44-46)                     |8DG,12DG,16-28DG,24-32DG,30DG,44DG,46DG,26-34DG,40-42DG,IG2                     |D20,D28,D34,D50,XI;
352    |LCJL|SLA,SIILLZA    |S     |2-4,10-12,20-22,36-38                     |4DG,10DG,22DG,36DG,IIG2,IIG1                     |D22,D24,D44,XII,SIIL,SIILLZA;
353    |LCJL|SLA,S4LLZA    |S     |2-4,10-12,20-22,(36-38),48                     |4DG,10DG,22DG,36DG,38DG,48-50DG,4G2,4G1                     |D22,D24,D44,D54,X4,S4L,S4LLZA;
354    |LCJL|SLA,S6LLZA    |S     |2-4,10-12,20-22,(36-38),(48),(50)                     |4DG,10DG,22DG,36DG,38DG,48-50DG,6G2,6G1                     |D22,D24,D44,D54,X6,S6L,S6LLZA;
355    |LCJL|SLA,S8LLZA    |S     |2-4,10-12,20-22,(36-38),(48),50                     |4DG,10DG,22DG,36DG,38DG,48-50DG,8G2,8G1                     |D22,D24,D44,D54,X8,S8L,S8LLZA;
356    |LCJL|SLA,X15LLA    |S     |2-4,(10-12),(16-18),(24),(26),52-54                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D22,D28,D34,X15,S15L,X15L;
357    |LCJL|SLA,X13LLA    |S     |2-4,(10-12),(16-18),(24),26,34,(56-58)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D22,D28,D34,X11,S11L,X13L;
358    |LCJL|SLA,X11LLA    |S     |2-4,(10-12),(16-18),(24),26,34,56-58                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D22,D28,D34,X11,S11L,X11L;
359    |LCJL|SLA,X9LLA    |S     |2-4,(10-12),(16-18),24,(32),40,60-62                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D22,D28,D34,X9,S9L,X9L;
360    |LCJL|SLA,X7LLA    |S     |2-4,(10-12),(16-18),24,(32),(40),(42),60-62                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D22,D28,D34,X7,S7L,X7L;
361    |LCJL|SLA,X15LA    |S     |2-4,(10-12),(16-18),(24),(26)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2                     |D22,D28,D34,X15;
362    |LCJL|SLA,X13LA    |S     |2-4,(10-12),(16-18),(24),26,(34)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,13G2                     |D22,D28,D34,X13;
363    |LCJL|SLA,X11LA    |S     |2-4,(10-12),(16-18),(24),26,34                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2                     |D22,D28,D34,X11;
364    |LCJL|SLA,X9LA    |S     |2-4,(10-12),(16-18),24,(32),40                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D22,D28,D34,X9;
365    |LCJL|SLA,X7LA    |S     |2-4,(10-12),(16-18),24,(32),(40),(42)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D22,D28,D34,X7;
366    |LCJL|SLA,X5LA    |S     |2-4,(10-12),(16-18),24,(32),(40),42                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D22,D28,D34,X5;
367    |LCJL|SLA,X3LA    |S     |2-4,(10-12),16-18,20-22,(28-30),44-46                     |4DG,10DG,12DG,16-28DG,30DG,44DG,24-32DG,3G2                     |D22,D28,D50,X3;
368    |LCJL|SLA,XILA    |S     |2-4,(10-12),16-18,20-22,28-30,44-46                     |4DG,10DG,12DG,16-28DG,46DG,IG2                     |D22,D28,XI;
369    |LCJL|SLA,XIILA    |S     |2-4,10-12,20-22,36-38                     |4DG,10DG,22DG,36DG,IIG2                     |D22,D24,D44,XII;
370    |LCJL|SLA,X4LA    |S     |2-4,10-12,20-22,(36-38),48                     |4DG,10DG,22DG,36DG,38DG,48-50DG,4G2                     |D22,D24,D44,D54,X4;
371    |LCJL|SLA,X6LA    |S     |2-4,10-12,20-22,(36-38),(48),(50)                     |4DG,10DG,22DG,36DG,38DG,48-50DG,6G2                     |D22,D24,D44,D54,X6;
372    |LCJL|SLA,X8LA    |S     |2-4,10-12,20-22,(36-38),(48),50                     |4DG,10DG,22DG,36DG,38DG,48-50DG,8G2                     |D22,D24,D44,D54,X8;
373    |LCJL|SLA,D28A,SIILLZA    |S     |2-4,(10-12),16-18,(20-22),36-38                     |4DG,10DG,16-28DG,22DG,36DG,IIG2,IIG1                     |D22,D28,D44,XII,SIIL,SIILLZA;
374    |LCJL|SLA,D28A,S4LLZA    |S     |2-4,(10-12),16-18,(20-22),(36-38),48                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,4G2,4G1                     |D22,D28,D44,D54,X4,S4L,S4LLZA;
375    |LCJL|SLA,D28A,S6LLZA    |S     |2-4,(10-12),16-18,(20-22),(36-38),(48),(50)                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,6G2,6G1                     |D22,D28,D44,D54,X6,S6L,S6LLZA;
376    |LCJL|SLA,D28A,S8LLZA    |S     |2-4,(10-12),16-18,(20-22),(36-38),(48),50                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,8G2,8G1                     |D22,D28,D44,D54,X8,S8L,S8LLZA;
377    |LCJL|SLA,D28A,XIILA    |S     |2-4,(10-12),16-18,(20-22),36-38                     |4DG,10DG,16-28DG,22DG,36DG,IIG2                     |D22,D28,D44,XII;
378    |LCJL|SLA,D28A,X4LA    |S     |2-4,(10-12),16-18,(20-22),(36-38),48                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,4G2                     |D22,D28,D44,D54,X4;
379    |LCJL|SLA,D28A,X6LA    |S     |2-4,(10-12),16-18,(20-22),(36-38),(48),(50)                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,6G2                     |D22,D28,D44,D54,X6;
380    |LCJL|SLA,D28A,X8LA    |S     |2-4,(10-12),16-18,(20-22),(36-38),(48),50                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,8G2                     |D22,D28,D44,D54,X8;
