//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
298    |LCJL|X8LA,D28A,SWLA    |X8     |50,(48),(36-38),(20-22),16-18,(10-12),(2-4),X1-X2                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D28,D22,SL2,XZ3,D2,SW;
299    |LCJL|X8LA,D24A,SL2LA    |X8     |50,(48),(36-38),20-22,10-12,(2-4)                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G                     |D54,D44,D24,D22,SL2;
300    |LCJL|X8LA,D24A,SWLA    |X8     |50,(48),(36-38),20-22,10-12,(2-4),X1-X2                     |48-50DG,38DG,36DG,10DG,4DG,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D44,D24,D22,SL2,XZ3,D2,SW;
301    |LCJL|X8LA,SNLA    |X8     |50,(48),(36-38),(20-22),16-18,10-12,6-8                     |48-50DG,38DG,36DG,22DG,16-28DG,12DG,8DG,X1LQ                     |D54,D44,D28,D20,SN;
302    |LCJL|X8LA,SLA    |X8     |50,(48),(36-38),20-22,10-12,2-4                     |48-50DG,38DG,36DG,22DG,10DG,4DG,S3JG                     |D54,D44,D24,D22,S;
303    |LCJL|X8LA,SL2LA    |X8     |50,(48),36-38,2-4                     |48-50DG,38DG,2/38G,2DG,X1/2G                     |D54,D46,D18,SL2;
304    |LCJL|X8LA,SWLA    |X8     |50,(48),36-38,2-4,X1-X2                     |48-50DG,38DG,2/38G,2DG,X1/2G,X1DG,4BG,SWJG                     |D54,D46,D18,SL2,XZ3,D2,SW;
305    |LCJL|SL4LA,X15LLA    |SL4     |(14),16-18,(24),(26),52-54                     |14DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D26,D34,X15,S15L,X15L;
306    |LCJL|SL4LA,X13LLA    |SL4     |(14),16-18,(24),26,34,(56-58)                     |14DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D26,D34,X11,S11L,X13L;
307    |LCJL|SL4LA,X11LLA    |SL4     |(14),16-18,(24),26,34,56-58                     |14DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D26,D34,X11,S11L,X11L;
308    |LCJL|SL4LA,X9LLA    |SL4     |(14),16-18,24,(32),40,60-62                     |14DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D26,D34,X9,S9L,X9L;
309    |LCJL|SL4LA,X7LLA    |SL4     |(14),16-18,24,(32),(40),(42),60-62                     |14DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D26,D34,X7,S7L,X7L;
310    |LCJL|SL4LA,X5LLA    |SL4     |(14),16-18,24,(32),(40),42                     |14DG,18DG,24-32DG,40-42DG,5G2,26-34DG,30DG,5G1                     |D26,D34,X5,X5LLZA,X5L;
311    |LCJL|SL4LA,X3LLA    |SL4     |(14),16-18,24,32,28-30,44-46                     |14DG,18DG,24-32DG,30DG,44DG,3G2,26-34DG,40-42DG,3G1                     |D26,D34,D50,X3,X3LLZA,X3L;
312    |LCJL|SL4LA,XILLA    |SL4     |(14),16-18,24,32,28-30,(44-46)                     |14DG,18DG,24-32DG,30DG,44DG,46DG,IG2,26-34DG,40-42DG,IG1                     |D26,D34,D50,XI,XILLZA,XIL;
313    |LCJL|SL4LA,X15LA    |SL4     |(14),16-18,(24),(26)                     |14DG,18DG,24-32DG,26-34DG,15G2                     |D26,D34,X15;
314    |LCJL|SL4LA,X13LA    |SL4     |(14),16-18,(24),26,(34)                     |14DG,18DG,24-32DG,26-34DG,13G2                     |D26,D34,X13;
315    |LCJL|SL4LA,X11LA    |SL4     |(14),16-18,(24),26,34                     |14DG,18DG,24-32DG,26-34DG,11G2                     |D26,D34,X11;
316    |LCJL|SL4LA,X9LA    |SL4     |(14),16-18,24,(32),40                     |14DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D26,D34,X9;
317    |LCJL|SL4LA,X7LA    |SL4     |(14),16-18,24,(32),(40),(42)                     |14DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D26,D34,X7;
318    |LCJL|SL4LA,X5LA    |SL4     |(14),16-18,24,(32),(40),42                     |14DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D26,D34,X5;
319    |LCJL|SL4LA,X3LA    |SL4     |(14),16-18,24,32,28-30,44-46                     |14DG,18DG,24-32DG,30DG,44DG,26-34DG,40-42DG,3G2                     |D26,D34,D50,X3;
320    |LCJL|SL4LA,XILA    |SL4     |(14),16-18,24,32,28-30,(44-46)                     |14DG,18DG,24-32DG,30DG,44DG,46DG,26-34DG,40-42DG,IG2                     |D26,D34,D50,XI;
321    |LCJL|SNLA,X15LLA    |SN     |6-8,10-12,(16-18),(24),(26),52-54                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D20,D28,D34,X15,S15L,X15L;
322    |LCJL|SNLA,X13LLA    |SN     |6-8,10-12,(16-18),(24),26,34,(56-58)                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D20,D28,D34,X11,S11L,X13L;
323    |LCJL|SNLA,X11LLA    |SN     |6-8,10-12,(16-18),(24),26,34,56-58                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D20,D28,D34,X11,S11L,X11L;
324    |LCJL|SNLA,X9LLA    |SN     |6-8,10-12,(16-18),24,(32),40,60-62                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D20,D28,D34,X9,S9L,X9L;
325    |LCJL|SNLA,X7LLA    |SN     |6-8,10-12,(16-18),24,(32),(40),(42),60-62                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D20,D28,D34,X7,S7L,X7L;
326    |LCJL|SNLA,X5LLA    |SN     |6-8,10-12,(16-18),24,(32),(40),42                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,5G2,26-34DG,30DG,5G1                     |D20,D28,D34,X5,X5LLZA,X5L;
327    |LCJL|SNLA,X3LLA    |SN     |6-8,10-12,16-18,20-22,(28-30),44-46                     |8DG,12DG,16-28DG,30DG,44DG,3G2,24-32DG,3G1                     |D20,D28,D50,X3,X3LLZA,X3L;
328    |LCJL|SNLA,XILLA    |SN     |6-8,10-12,16-18,20-22,28-30,44-46                     |8DG,12DG,16-28DG,46DG,IG2,IG1                     |D20,D28,XI,XILLZA,XIL;
329    |LCJL|SNLA,X15LA    |SN     |6-8,10-12,(16-18),(24),(26)                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2                     |D20,D28,D34,X15;
330    |LCJL|SNLA,X13LA    |SN     |6-8,10-12,(16-18),(24),26,(34)                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,13G2                     |D20,D28,D34,X13;
331    |LCJL|SNLA,X11LA    |SN     |6-8,10-12,(16-18),(24),26,34                     |8DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2                     |D20,D28,D34,X11;
332    |LCJL|SNLA,X9LA    |SN     |6-8,10-12,(16-18),24,(32),40                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D20,D28,D34,X9;
333    |LCJL|SNLA,X7LA    |SN     |6-8,10-12,(16-18),24,(32),(40),(42)                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D20,D28,D34,X7;
334    |LCJL|SNLA,X5LA    |SN     |6-8,10-12,(16-18),24,(32),(40),42                     |8DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D20,D28,D34,X5;
335    |LCJL|SNLA,X3LA    |SN     |6-8,10-12,16-18,20-22,(28-30),44-46                     |8DG,12DG,16-28DG,30DG,44DG,24-32DG,3G2                     |D20,D28,D50,X3;
336    |LCJL|SNLA,XILA    |SN     |6-8,10-12,16-18,20-22,28-30,44-46                     |8DG,12DG,16-28DG,46DG,IG2                     |D20,D28,XI;
337    |LCJL|SNLA,XIILA    |SN     |6-8,10-12,16-18,(20-22),36-38                     |8DG,12DG,16-28DG,22DG,36DG,IIG2                     |D20,D28,D44,XII;
338    |LCJL|SNLA,X4LA    |SN     |6-8,10-12,16-18,(20-22),(36-38),48                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,4G2                     |D20,D28,D44,D54,X4;
339    |LCJL|SNLA,X6LA    |SN     |6-8,10-12,16-18,(20-22),(36-38),(48),(50)                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,6G2                     |D20,D28,D44,D54,X6;
340    |LCJL|SNLA,X8LA    |SN     |6-8,10-12,16-18,(20-22),(36-38),(48),50                     |8DG,12DG,16-28DG,22DG,36DG,38DG,48-50DG,8G2                     |D20,D28,D44,D54,X8;
341    |LCJL|SNLA,D34A,X3LLA    |SN     |6-8,10-12,(16-18),24,32,28-30,44-46                     |8DG,12DG,16-28DG,24-32DG,30DG,44DG,3G2,26-34DG,40-42DG,3G1                     |D20,D28,D34,D50,X3,X3LLZA,X3L;
342    |LCJL|SNLA,D34A,XILLA    |SN     |6-8,10-12,(16-18),24,32,28-30,(44-46)                     |8DG,12DG,16-28DG,24-32DG,30DG,44DG,46DG,IG2,26-34DG,40-42DG,IG1                     |D20,D28,D34,D50,XI,XILLZA,XIL;
343    |LCJL|SNLA,D34A,X3LA    |SN     |6-8,10-12,(16-18),24,32,28-30,44-46                     |8DG,12DG,16-28DG,24-32DG,30DG,44DG,26-34DG,40-42DG,3G2                     |D20,D28,D34,D50,X3;
344    |LCJL|SNLA,D34A,XILA    |SN     |6-8,10-12,(16-18),24,32,28-30,(44-46)                     |8DG,12DG,16-28DG,24-32DG,30DG,44DG,46DG,26-34DG,40-42DG,IG2                     |D20,D28,D34,D50,XI;
345    |LCJL|SLA,X15LLA    |S     |2-4,(10-12),(16-18),(24),(26),52-54                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D22,D28,D34,X15,S15L,X15L;
346    |LCJL|SLA,X13LLA    |S     |2-4,(10-12),(16-18),(24),26,34,(56-58)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D22,D28,D34,X11,S11L,X13L;
347    |LCJL|SLA,X11LLA    |S     |2-4,(10-12),(16-18),(24),26,34,56-58                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D22,D28,D34,X11,S11L,X11L;
348    |LCJL|SLA,X9LLA    |S     |2-4,(10-12),(16-18),24,(32),40,60-62                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D22,D28,D34,X9,S9L,X9L;
349    |LCJL|SLA,X7LLA    |S     |2-4,(10-12),(16-18),24,(32),(40),(42),60-62                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D22,D28,D34,X7,S7L,X7L;
350    |LCJL|SLA,X5LLA    |S     |2-4,(10-12),(16-18),24,(32),(40),42                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,5G2,26-34DG,30DG,5G1                     |D22,D28,D34,X5,X5LLZA,X5L;
351    |LCJL|SLA,X3LLA    |S     |2-4,(10-12),16-18,20-22,(28-30),44-46                     |4DG,10DG,12DG,16-28DG,30DG,44DG,3G2,24-32DG,3G1                     |D22,D28,D50,X3,X3LLZA,X3L;
352    |LCJL|SLA,XILLA    |S     |2-4,(10-12),16-18,20-22,28-30,44-46                     |4DG,10DG,12DG,16-28DG,46DG,IG2,IG1                     |D22,D28,XI,XILLZA,XIL;
353    |LCJL|SLA,X15LA    |S     |2-4,(10-12),(16-18),(24),(26)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2                     |D22,D28,D34,X15;
354    |LCJL|SLA,X13LA    |S     |2-4,(10-12),(16-18),(24),26,(34)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,13G2                     |D22,D28,D34,X13;
355    |LCJL|SLA,X11LA    |S     |2-4,(10-12),(16-18),(24),26,34                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2                     |D22,D28,D34,X11;
356    |LCJL|SLA,X9LA    |S     |2-4,(10-12),(16-18),24,(32),40                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D22,D28,D34,X9;
357    |LCJL|SLA,X7LA    |S     |2-4,(10-12),(16-18),24,(32),(40),(42)                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D22,D28,D34,X7;
358    |LCJL|SLA,X5LA    |S     |2-4,(10-12),(16-18),24,(32),(40),42                     |4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D22,D28,D34,X5;
359    |LCJL|SLA,X3LA    |S     |2-4,(10-12),16-18,20-22,(28-30),44-46                     |4DG,10DG,12DG,16-28DG,30DG,44DG,24-32DG,3G2                     |D22,D28,D50,X3;
360    |LCJL|SLA,XILA    |S     |2-4,(10-12),16-18,20-22,28-30,44-46                     |4DG,10DG,12DG,16-28DG,46DG,IG2                     |D22,D28,XI;
361    |LCJL|SLA,XIILA    |S     |2-4,10-12,20-22,36-38                     |4DG,10DG,22DG,36DG,IIG2                     |D22,D24,D44,XII;
362    |LCJL|SLA,X4LA    |S     |2-4,10-12,20-22,(36-38),48                     |4DG,10DG,22DG,36DG,38DG,48-50DG,4G2                     |D22,D24,D44,D54,X4;
363    |LCJL|SLA,X6LA    |S     |2-4,10-12,20-22,(36-38),(48),(50)                     |4DG,10DG,22DG,36DG,38DG,48-50DG,6G2                     |D22,D24,D44,D54,X6;
364    |LCJL|SLA,X8LA    |S     |2-4,10-12,20-22,(36-38),(48),50                     |4DG,10DG,22DG,36DG,38DG,48-50DG,8G2                     |D22,D24,D44,D54,X8;
365    |LCJL|SLA,D28A,XIILA    |S     |2-4,(10-12),16-18,(20-22),36-38                     |4DG,10DG,16-28DG,22DG,36DG,IIG2                     |D22,D28,D44,XII;
366    |LCJL|SLA,D28A,X4LA    |S     |2-4,(10-12),16-18,(20-22),(36-38),48                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,4G2                     |D22,D28,D44,D54,X4;
367    |LCJL|SLA,D28A,X6LA    |S     |2-4,(10-12),16-18,(20-22),(36-38),(48),(50)                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,6G2                     |D22,D28,D44,D54,X6;
368    |LCJL|SLA,D28A,X8LA    |S     |2-4,(10-12),16-18,(20-22),(36-38),(48),50                     |4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,8G2                     |D22,D28,D44,D54,X8;
369    |LCJL|SLA,D34A,X3LLA    |S     |2-4,(10-12),(16-18),24,32,28-30,44-46                     |4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,3G2,26-34DG,40-42DG,3G1                     |D22,D28,D34,D50,X3,X3LLZA,X3L;
370    |LCJL|SLA,D34A,XILLA    |S     |2-4,(10-12),(16-18),24,32,28-30,(44-46)                     |4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,46DG,IG2,26-34DG,40-42DG,IG1                     |D22,D28,D34,D50,XI,XILLZA,XIL;
371    |LCJL|SLA,D34A,X3LA    |S     |2-4,(10-12),(16-18),24,32,28-30,44-46                     |4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,26-34DG,40-42DG,3G2                     |D22,D28,D34,D50,X3;
372    |LCJL|SLA,D34A,XILA    |S     |2-4,(10-12),(16-18),24,32,28-30,(44-46)                     |4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,46DG,26-34DG,40-42DG,IG2                     |D22,D28,D34,D50,XI;
373    |LCJL|SL2LA,X15LLA    |SL2     |(2-4),(10-12),(16-18),(24),(26),52-54                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D22,D28,D34,X15,S15L,X15L;
374    |LCJL|SL2LA,X13LLA    |SL2     |(2-4),(10-12),(16-18),(24),26,34,(56-58)                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D22,D28,D34,X11,S11L,X13L;
375    |LCJL|SL2LA,X11LLA    |SL2     |(2-4),(10-12),(16-18),(24),26,34,56-58                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D22,D28,D34,X11,S11L,X11L;
376    |LCJL|SL2LA,X9LLA    |SL2     |(2-4),(10-12),(16-18),24,(32),40,60-62                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D22,D28,D34,X9,S9L,X9L;
377    |LCJL|SL2LA,X7LLA    |SL2     |(2-4),(10-12),(16-18),24,(32),(40),(42),60-62                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D22,D28,D34,X7,S7L,X7L;
378    |LCJL|SL2LA,X5LLA    |SL2     |(2-4),(10-12),(16-18),24,(32),(40),42                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,5G2,26-34DG,30DG,5G1                     |D22,D28,D34,X5,X5LLZA,X5L;
379    |LCJL|SL2LA,X3LLA    |SL2     |(2-4),(10-12),16-18,20-22,(28-30),44-46                     |2DG,4DG,10DG,12DG,16-28DG,30DG,44DG,3G2,24-32DG,3G1                     |D22,D28,D50,X3,X3LLZA,X3L;
380    |LCJL|SL2LA,XILLA    |SL2     |(2-4),(10-12),16-18,20-22,28-30,44-46                     |2DG,4DG,10DG,12DG,16-28DG,46DG,IG2,IG1                     |D22,D28,XI,XILLZA,XIL;
381    |LCJL|SL2LA,X15LA    |SL2     |(2-4),(10-12),(16-18),(24),(26)                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2                     |D22,D28,D34,X15;
382    |LCJL|SL2LA,X13LA    |SL2     |(2-4),(10-12),(16-18),(24),26,(34)                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,13G2                     |D22,D28,D34,X13;
383    |LCJL|SL2LA,X11LA    |SL2     |(2-4),(10-12),(16-18),(24),26,34                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2                     |D22,D28,D34,X11;
384    |LCJL|SL2LA,X9LA    |SL2     |(2-4),(10-12),(16-18),24,(32),40                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D22,D28,D34,X9;
385    |LCJL|SL2LA,X7LA    |SL2     |(2-4),(10-12),(16-18),24,(32),(40),(42)                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D22,D28,D34,X7;
386    |LCJL|SL2LA,X5LA    |SL2     |(2-4),(10-12),(16-18),24,(32),(40),42                     |2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D22,D28,D34,X5;
387    |LCJL|SL2LA,X3LA    |SL2     |(2-4),(10-12),16-18,20-22,(28-30),44-46                     |2DG,4DG,10DG,12DG,16-28DG,30DG,44DG,24-32DG,3G2                     |D22,D28,D50,X3;
388    |LCJL|SL2LA,XILA    |SL2     |(2-4),(10-12),16-18,20-22,28-30,44-46                     |2DG,4DG,10DG,12DG,16-28DG,46DG,IG2                     |D22,D28,XI;
389    |LCJL|SL2LA,XIILA    |SL2     |(2-4),10-12,20-22,36-38                     |2DG,4DG,10DG,22DG,36DG,IIG2                     |D22,D24,D44,XII;
390    |LCJL|SL2LA,X4LA    |SL2     |2-4,36-38,48                     |2DG,2/38G,38DG,48-50DG,4G2                     |D18,D46,D54,X4;
391    |LCJL|SL2LA,X6LA    |SL2     |2-4,36-38,(48),(50)                     |2DG,2/38G,38DG,48-50DG,6G2                     |D18,D46,D54,X6;
392    |LCJL|SL2LA,X8LA    |SL2     |2-4,36-38,(48),50                     |2DG,2/38G,38DG,48-50DG,8G2                     |D18,D46,D54,X8;
393    |LCJL|SL2LA,D28A,XIILA    |SL2     |(2-4),(10-12),16-18,(20-22),36-38                     |2DG,4DG,10DG,16-28DG,22DG,36DG,IIG2                     |D22,D28,D44,XII;
394    |LCJL|SL2LA,D28A,X4LA    |SL2     |(2-4),(10-12),16-18,(20-22),(36-38),48                     |2DG,4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,4G2                     |D22,D28,D44,D54,X4;
395    |LCJL|SL2LA,D28A,X6LA    |SL2     |(2-4),(10-12),16-18,(20-22),(36-38),(48),(50)                     |2DG,4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,6G2                     |D22,D28,D44,D54,X6;
396    |LCJL|SL2LA,D28A,X8LA    |SL2     |(2-4),(10-12),16-18,(20-22),(36-38),(48),50                     |2DG,4DG,10DG,16-28DG,22DG,36DG,38DG,48-50DG,8G2                     |D22,D28,D44,D54,X8;
397    |LCJL|SL2LA,D24A,X4LA    |SL2     |(2-4),10-12,20-22,(36-38),48                     |2DG,4DG,10DG,22DG,36DG,38DG,48-50DG,4G2                     |D22,D24,D44,D54,X4;
398    |LCJL|SL2LA,D24A,X6LA    |SL2     |(2-4),10-12,20-22,(36-38),(48),(50)                     |2DG,4DG,10DG,22DG,36DG,38DG,48-50DG,6G2                     |D22,D24,D44,D54,X6;
399    |LCJL|SL2LA,D24A,X8LA    |SL2     |(2-4),10-12,20-22,(36-38),(48),50                     |2DG,4DG,10DG,22DG,36DG,38DG,48-50DG,8G2                     |D22,D24,D44,D54,X8;
400    |LCJL|SL2LA,D34A,X3LLA    |SL2     |(2-4),(10-12),(16-18),24,32,28-30,44-46                     |2DG,4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,3G2,26-34DG,40-42DG,3G1                     |D22,D28,D34,D50,X3,X3LLZA,X3L;
401    |LCJL|SL2LA,D34A,XILLA    |SL2     |(2-4),(10-12),(16-18),24,32,28-30,(44-46)                     |2DG,4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,46DG,IG2,26-34DG,40-42DG,IG1                     |D22,D28,D34,D50,XI,XILLZA,XIL;
402    |LCJL|SL2LA,D34A,X3LA    |SL2     |(2-4),(10-12),(16-18),24,32,28-30,44-46                     |2DG,4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,26-34DG,40-42DG,3G2                     |D22,D28,D34,D50,X3;
403    |LCJL|SL2LA,D34A,XILA    |SL2     |(2-4),(10-12),(16-18),24,32,28-30,(44-46)                     |2DG,4DG,10DG,12DG,16-28DG,24-32DG,30DG,44DG,46DG,26-34DG,40-42DG,IG2                     |D22,D28,D34,D50,XI;
404    |LCJL|XZ1LA,SWLA    |XZ1     |(X2-X1)                     |X2DG,X1DG,4BG,SWJG                     |D2,SW;
405    |LCJL|XZ3LA,SWLA    |XZ3     |X1-X2                     |X1DG,4BG,SWJG                     |D2,SW;
406    |LCJL|SWLA,X15LLA    |SW     |X1-X2,(2-4),(10-12),(16-18),(24),(26),52-54                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2,52DG,15G1                     |D2,XZ3,SL2,D22,D28,D34,X15,S15L,X15L;
407    |LCJL|SWLA,X13LLA    |SW     |X1-X2,(2-4),(10-12),(16-18),(24),26,34,(56-58)                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,54-58DG,13G1                     |D2,XZ3,SL2,D22,D28,D34,X11,S11L,X13L;
408    |LCJL|SWLA,X11LLA    |SW     |X1-X2,(2-4),(10-12),(16-18),(24),26,34,56-58                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2,56DG,11G1                     |D2,XZ3,SL2,D22,D28,D34,X11,S11L,X11L;
409    |LCJL|SWLA,X9LLA    |SW     |X1-X2,(2-4),(10-12),(16-18),24,(32),40,60-62                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,9G2,62DG,26-34DG,30DG,9G1                     |D2,XZ3,SL2,D22,D28,D34,X9,S9L,X9L;
410    |LCJL|SWLA,X7LLA    |SW     |X1-X2,(2-4),(10-12),(16-18),24,(32),(40),(42),60-62                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,7G2,60DG,26-34DG,30DG,7G1                     |D2,XZ3,SL2,D22,D28,D34,X7,S7L,X7L;
411    |LCJL|SWLA,X5LLA    |SW     |X1-X2,(2-4),(10-12),(16-18),24,(32),(40),42                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,5G2,26-34DG,30DG,5G1                     |D2,XZ3,SL2,D22,D28,D34,X5,X5LLZA,X5L;
412    |LCJL|SWLA,X3LLA    |SW     |X1-X2,(2-4),(10-12),16-18,20-22,(28-30),44-46                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,30DG,44DG,3G2,24-32DG,3G1                     |D2,XZ3,SL2,D22,D28,D50,X3,X3LLZA,X3L;
413    |LCJL|SWLA,XILLA    |SW     |X1-X2,(2-4),(10-12),16-18,20-22,28-30,44-46                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,46DG,IG2,IG1                     |D2,XZ3,SL2,D22,D28,XI,XILLZA,XIL;
414    |LCJL|SWLA,X15LA    |SW     |X1-X2,(2-4),(10-12),(16-18),(24),(26)                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,15G2                     |D2,XZ3,SL2,D22,D28,D34,X15;
415    |LCJL|SWLA,X13LA    |SW     |X1-X2,(2-4),(10-12),(16-18),(24),26,(34)                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,13G2                     |D2,XZ3,SL2,D22,D28,D34,X13;
416    |LCJL|SWLA,X11LA    |SW     |X1-X2,(2-4),(10-12),(16-18),(24),26,34                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,26-34DG,11G2                     |D2,XZ3,SL2,D22,D28,D34,X11;
417    |LCJL|SWLA,X9LA    |SW     |X1-X2,(2-4),(10-12),(16-18),24,(32),40                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,9G2                     |D2,XZ3,SL2,D22,D28,D34,X9;
418    |LCJL|SWLA,X7LA    |SW     |X1-X2,(2-4),(10-12),(16-18),24,(32),(40),(42)                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,7G2                     |D2,XZ3,SL2,D22,D28,D34,X7;
419    |LCJL|SWLA,X5LA    |SW     |X1-X2,(2-4),(10-12),(16-18),24,(32),(40),42                     |4BG,X1DG,X1/2G,2DG,4DG,10DG,12DG,16-28DG,18DG,24-32DG,40-42DG,26-34DG,30DG,5G2                     |D2,XZ3,SL2,D22,D28,D34,X5;
